Vp,Vg,Ia
249.652,-2.0,31.4571
250.418,-2.0,31.6123
250.578,-2.0,31.6446
250.792,-2.0,31.6876
250.867,-2.0,31.7027
251.331,-2.0,31.795
252.202,-2.0,31.9653
253.292,-2.0,32.1715
253.318,-2.0,32.1763
253.502,-2.0,32.2102
254.195,-2.0,32.3368
254.296,-2.0,32.3552
255.535,-2.0,32.5917
255.824,-2.0,32.6516
255.928,-2.0,32.6737
256.071,-2.0,32.7048
256.383,-2.0,32.7757
258.291,-2.0,33.2681
259.144,-2.0,33.4817
259.28,-2.0,33.5132
259.424,-2.0,33.5459
259.461,-2.0,33.5541
260.749,-2.0,33.8159
260.97,-2.0,33.8575
261.971,-2.0,34.0426
262.058,-2.0,34.0586
262.112,-2.0,34.0685
262.134,-2.0,34.0727
262.669,-2.0,34.1726
263.369,-2.0,34.3056
263.926,-2.0,34.4133
265.122,-2.0,34.6511
265.157,-2.0,34.6583
265.699,-2.0,34.7704
265.804,-2.0,34.7925
266.538,-2.0,34.951
267.05,-2.0,35.0648
267.102,-2.0,35.0763
60.352,-4.0,0.1657
61.496,-4.0,0.2005
62.958,-4.0,0.2448
64.453,-4.0,0.2899
66.963,-4.0,0.3648
67.37,-4.0,0.3767
67.92,-4.0,0.393
70.068,-4.0,0.465
71.272,-4.0,0.5216
71.832,-4.0,0.5538
73.671,-4.0,0.6726
74.04,-4.0,0.6964
75.117,-4.0,0.7594
76.543,-4.0,0.819
78.775,-4.0,0.9072
78.786,-4.0,0.9078
79.644,-4.0,0.9523
82.162,-4.0,1.1042
83.741,-4.0,1.2092
84.526,-4.0,1.2633
85.423,-4.0,1.3253
86.159,-4.0,1.374
87.445,-4.0,1.4505
87.458,-4.0,1.4512
88.595,-4.0,1.5106
89.379,-4.0,1.5504
91.985,-4.0,1.6973
92.807,-4.0,1.7606
93.179,-4.0,1.7937
94.304,-4.0,1.9019
94.915,-4.0,1.9562
95.022,-4.0,1.965
97.419,-4.0,2.1351
98.304,-4.0,2.1963
99.253,-4.0,2.2665
99.935,-4.0,2.3217
101.103,-4.0,2.4234
101.74,-4.0,2.4805
103.316,-4.0,2.6148
105.355,-4.0,2.7585
105.477,-4.0,2.7666
105.903,-4.0,2.7953
107.034,-4.0,2.8781
109.081,-4.0,3.0697
110.103,-4.0,3.1678
110.328,-4.0,3.1883
111.463,-4.0,3.2853
111.486,-4.0,3.2872
112.945,-4.0,3.4081
113.892,-4.0,3.4896
114.69,-4.0,3.5624
114.776,-4.0,3.5706
116.169,-4.0,3.7103
116.799,-4.0,3.777
118.033,-4.0,3.9105
118.83,-4.0,3.9961
119.271,-4.0,4.0423
120.35,-4.0,4.1493
120.753,-4.0,4.1877
121.967,-4.0,4.304
122.692,-4.0,4.3757
123.38,-4.0,4.446
123.778,-4.0,4.4877
125.018,-4.0,4.6204
127.338,-4.0,4.8751
127.897,-4.0,4.937
128.631,-4.0,5.0183
128.642,-4.0,5.0195
129.374,-4.0,5.1004
130.345,-4.0,5.2064
131.848,-4.0,5.3664
132.842,-4.0,5.4702
133.8,-4.0,5.571
135.129,-4.0,5.7166
135.147,-4.0,5.7186
135.542,-4.0,5.7638
136.911,-4.0,5.9291
136.923,-4.0,5.9307
137.863,-4.0,6.0546
138.451,-4.0,6.1353
139.787,-4.0,6.3207
140.273,-4.0,6.3865
140.813,-4.0,6.4562
140.892,-4.0,6.4661
141.668,-4.0,6.5578
143.152,-4.0,6.7181
144.103,-4.0,6.8209
144.452,-4.0,6.86
144.631,-4.0,6.8803
145.194,-4.0,6.9458
145.731,-4.0,7.0099
145.886,-4.0,7.0287
148.384,-4.0,7.3428
148.65,-4.0,7.3774
149.08,-4.0,7.4338
149.522,-4.0,7.4922
150.847,-4.0,7.6714
151.863,-4.0,7.813
151.975,-4.0,7.8289
152.831,-4.0,7.9513
152.897,-4.0,7.9609
153.43,-4.0,8.0383
154.327,-4.0,8.1694
156.586,-4.0,8.4923
156.908,-4.0,8.5369
157.093,-4.0,8.5622
157.162,-4.0,8.5717
157.766,-4.0,8.6536
159.833,-4.0,8.9214
160.385,-4.0,8.9888
160.562,-4.0,9.0098
160.577,-4.0,9.0117
161.086,-4.0,9.0703
161.562,-4.0,9.1225
163.104,-4.0,9.2852
163.321,-4.0,9.3093
164.506,-4.0,9.4513
165.326,-4.0,9.5591
165.681,-4.0,9.6076
167.117,-4.0,9.8115
167.338,-4.0,9.8436
167.761,-4.0,9.9053
168.332,-4.0,9.9895
168.475,-4.0,10.0106
170.189,-4.0,10.2672
170.465,-4.0,10.3087
171.269,-4.0,10.4303
171.767,-4.0,10.5057
172.534,-4.0,10.6219
173.185,-4.0,10.7202
173.592,-4.0,10.7816
173.813,-4.0,10.8147
174.877,-4.0,10.973
175.184,-4.0,11.018
175.248,-4.0,11.0274
176.004,-4.0,11.1369
176.567,-4.0,11.217
178.402,-4.0,11.4744
179.154,-4.0,11.5784
179.283,-4.0,11.5961
179.441,-4.0,11.6179
179.717,-4.0,11.6557
180.426,-4.0,11.7526
180.822,-4.0,11.8066
181.62,-4.0,11.9148
182.335,-4.0,12.0124
182.975,-4.0,12.1009
183.34,-4.0,12.152
184.285,-4.0,12.2883
184.515,-4.0,12.3224
184.639,-4.0,12.3409
185.73,-4.0,12.5098
186.719,-4.0,12.6703
187.042,-4.0,12.7239
187.634,-4.0,12.8239
188.102,-4.0,12.9041
188.199,-4.0,12.9208
188.719,-4.0,13.0108
188.877,-4.0,13.0383
189.731,-4.0,13.1868
190.512,-4.0,13.3214
190.634,-4.0,13.3422
191.841,-4.0,13.5476
192.269,-4.0,13.622
192.835,-4.0,13.7233
193.347,-4.0,13.8189
193.371,-4.0,13.8233
194.014,-4.0,13.9484
194.631,-4.0,14.0692
194.804,-4.0,14.1026
196.209,-4.0,14.3443
