x,Ec=0V,Ec=-1V,Ec=-2V,Ec=-3V,Ec=-4V,Ec=-5V,Ec=-6V,Ec=-7V,Ec=-8V,Ec=-9V,Ec=-10V,Ec=-11V,Ec=-12V,Ec=-13V,Ec=-14V,Ec=-15V,Ec=-16V
165.135,,,,,,,64.107,,,,,,,,,,
165.254,,,,,,,,48.096,,,,,,,,,
165.608,,,,,,,,,,,11.042,,,,,,
165.641,,,,,,,,,,,,,,1.225,,,
165.688,,,,,,,,,33.943,,,,,,,,
165.769,,,,,,,,,,,,,,,0.348,,
165.774,,,,,,,,,,,,5.521,,,,,
165.844,,,,,,,,,,,,,2.666,,,,
166.97,,,,,,,66.093,,,,,,,,,,
167.29,,,,,,,,,,22.04,,,,,,,
167.34,,,,,,,,50.111,,,,,,,,,
167.961,,,,,,,,,36.093,,,,,,,,
169.019,,,,,,,68.08,,,,,,,,,,
169.461,,,,,,,,52.083,,,,,,,,,
170.063,,,,,,,,,,23.979,,,,,,,
170.435,,,,,,,,,38.188,,,,,,,,
170.625,,,,,,,,,,,,,,,0.745,,
170.753,,,,,,,,,,,13.55,,,,,,
170.766,,,,,,,,,,,,,,1.828,,,
170.854,,,,,,,70.052,,,,,,,,,,
170.9,,,,,,,,,,,,,3.331,,,,
170.924,,,,,,,,,,,,7.349,,,,,
171.367,,,,,,,,54.14,,,,,,,,,
171.515,,,,,,,,,,,,,,,,0.097,
172.398,,,,,,,,,40.091,,,,,,,,
172.744,,,,,,,,,,26.052,,,,,,,
172.833,,,,,,,72.024,,,,,,,,,,
173.453,,,,,,,,56.07,,,,,,,,,
174.675,,,,,,,,,42.061,,,,,,,,
174.774,,,,,,,74.082,,,,,,,,,,
175.044,,,,,,,,,,,16.048,,,,,,
175.29,,,,,,,,,,27.999,,,,,,,
175.69,,,,,,,,,,,,9.124,,,,,
175.791,,,,,,,,58.041,,,,,,,,,
175.804,,,,,,,,,,,,,,2.188,,,
175.812,,,,,,,,,,,,,4.47,,,,
175.83,,,,,,,,,,,,,,,1.14,,
175.844,,,,,,,,,,,,,,,,0.272,
176.716,,,,,,,76.054,,,,,,,,,,
176.978,,,,,,,,,44.122,,,,,,,,
177.696,,,,,,,,60.099,,,,,,,,,
177.723,,,,,,,,,,29.965,,,,,,,
177.834,,,,,,,,,,,17.95,,,,,,
178.658,,,,,,,78.055,,,,,,,,,,
179.112,,,,,,,,,46.07,,,,,,,,
179.887,,,,,,,,62.241,,,,,,,,,
180.043,,,,,,,,,,31.976,,,,,,,
180.498,,,,,,,,,,,,,,,1.473,,
180.676,,,,,,,,,,,,,5.798,,,,
180.679,,,,,,,,,,,19.987,,,,,,
180.693,,,,,,,,,,,,11.624,,,,,
180.724,,,,,,,,,,,,,,2.871,,,
180.738,,,,,,,,,,,,,,,,0.773,
180.853,,,,,,,79.97,,,,,,,,,,
180.96,,,,,,,,,48.052,,,,,,,,
181.579,,,,,,,,64.129,,,,,,,,,
182.542,,,,,,,,,,34.067,,,,,,,
182.744,,,,,,,,,,,,,,,,,0.083
183.491,,,,,,,,,50.135,,,,,,,,
183.593,,,,,,,,66.129,,,,,,,,,
183.752,,,,,,,,,,,22.013,,,,,,
185.065,,,,,,,,,,36.069,,,,,,,
185.223,,,,,,,,,,,,14.017,,,,,
185.421,,,,,,,,,,,,,7.43,,,,
185.447,,,,,,,,,,,,,,,2.053,,
185.598,,,,,,,,,51.981,,,,,,,,
185.642,,,,,,,,,,,,,,3.635,,,
185.689,,,,,,,,,,,,,,,,1.218,
185.822,,,,,,,,68.144,,,,,,,,,
