x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V,Ec=-22V,Ec=-24V,Ec=-26V,Ec=-28V,Ec=-30V
210.066,32.582,23.6973,16.4992,10.7367,6.5132,3.5334,1.6442,0.6644,,,,,,,,
210.295,32.6293,23.7462,16.5396,10.77,6.5402,3.5526,1.6569,0.6709,,,,,,,,
211.374,32.8503,23.9703,16.7155,10.9259,6.6772,3.652,1.7165,0.7015,,,,,,,,
212.245,33.0258,24.1439,16.852,11.0502,6.7855,3.7418,1.7636,0.7256,,,,,,,,
212.288,33.0344,24.1523,16.8588,11.0562,6.7906,3.7464,1.7658,0.7268,,,,,,,,
212.763,33.1284,24.2432,16.9355,11.1226,6.8453,3.7977,1.7905,0.7395,,,,,,,,
213.353,33.244,24.3526,17.0372,11.204,6.911,3.862,1.8199,0.755,,,,,,,,
213.421,33.2572,24.3649,17.0496,11.2132,6.9184,3.8693,1.8232,0.7567,,,,,,,,
214.075,33.3845,24.481,17.1755,11.302,6.9896,3.9386,1.854,0.7733,,,,,,,,
214.126,33.3946,24.49,17.1859,11.3089,6.9952,3.9439,1.8564,0.7746,,,,,,,,
214.875,33.5407,24.6189,17.3409,11.4095,7.0759,4.0157,1.8899,0.7929,,,,,,,,
216.407,33.8499,24.8824,17.6453,11.6173,7.2421,4.1296,1.9563,0.8289,,,,,,,,
216.986,33.973,24.9856,17.7441,11.6988,7.3065,4.1653,1.9816,0.8423,,,,,,,,
217.084,33.9944,25.0035,17.76,11.7128,7.3176,4.1712,1.986,0.8446,,,,,,,,
217.176,34.0146,25.0204,17.7747,11.7261,7.328,4.1767,1.9901,0.8467,,,,,,,,
217.353,34.0537,25.053,17.8024,11.7516,7.348,4.1872,1.998,0.8508,,,,,,,,
218.013,34.2046,25.1776,17.9013,11.849,7.4243,4.2267,2.028,0.8659,,,,,,,,
219.148,34.4779,25.4017,18.0616,12.0215,7.5598,4.3002,2.0822,0.8919,,,,,,,,
219.668,34.6061,25.5078,18.1342,12.1016,7.6231,4.3377,2.1079,0.9039,,,,,,,,
220.155,34.7256,25.6092,18.2043,12.1768,7.6831,4.3749,2.1326,0.9152,,,,,,,,
220.384,34.7807,25.6575,18.2382,12.2122,7.7114,4.393,2.1444,0.9205,,,,,,,,
221.664,35.0656,25.9304,18.4464,12.4077,7.8697,4.5006,2.2122,0.9509,,,,,,,,
